date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:44	248/248	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jun%202020%2013:34:45%20GMT	https://www.satta-kingz.in/robots.txt		(from )
19:04:44	40790/40790	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:45%20GMT	https://www.satta-kingz.in/	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/index.html	(from )
19:04:45	115669/115669	---MC-	200	added ('OK')	text/javascript	date:Tue,%2030%20Jun%202020%2013:34:45%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/Administrator/Desktop/new%20site/satta/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.satta-kingz.in/)
19:04:45	3716/3716	---MCZ	200	added ('OK')	text/css	etag:W/%225ecec5b5-e84%22	https://www.satta-kingz.in/css/background.css	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/css/background.css	(from https://www.satta-kingz.in/)
19:04:45	4670/4670	---MCZ	200	added ('OK')	text/css	etag:W/%225ee926a2-123e%22	https://www.satta-kingz.in/css/style.css?id=237	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/css/style03db.css	(from https://www.satta-kingz.in/)
19:04:45	121241/121241	---MCZ	200	added ('OK')	text/css	etag:W/%225ed7f6ac-1d999%22	https://www.satta-kingz.in/css/bootstrap.min.css	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/css/bootstrap.min.css	(from https://www.satta-kingz.in/)
19:04:46	5097/5097	---M--	200	added ('OK')	image/png	etag:%225ed87711-13e9%22	https://www.satta-kingz.in/images/fav.png	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/images/fav.png	(from https://www.satta-kingz.in/)
19:04:46	40605/40605	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:47%20GMT	https://www.satta-kingz.in/index.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/index-2.html	(from https://www.satta-kingz.in/)
19:04:47	351/351	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jun%202020%2013:34:48%20GMT	https://www.satta-kingz.in/all-game-record-chart.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/all-game-record-chart.php	(from https://www.satta-kingz.in/)
19:04:48	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jun%202020%2013:34:48%20GMT	http://www.satta-kingz.in/satta-king-game-record-chart.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/satta-king-game-record-chart.7.delayed	(from https://www.satta-kingz.in/)
19:04:48	73055/73055	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:49%20GMT	https://www.satta-kingz.in/satta-king-game-record-chart.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/satta-king-game-record-chart.html	(from https://www.satta-kingz.in/)
19:04:49	22612/22612	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:49%20GMT	https://www.satta-kingz.in/satta-king-fast-result.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/satta-king-fast-result.html	(from https://www.satta-kingz.in/)
19:04:49	22489/22489	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:50%20GMT	https://www.satta-kingz.in/satta-leak-number.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/satta-leak-number.html	(from https://www.satta-kingz.in/)
19:04:50	283/283	---M--	200	added ('OK')	image/gif	etag:%225ecec5b9-11b%22	https://www.satta-kingz.in/images/arrow.gif	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/images/arrow.gif	(from https://www.satta-kingz.in/)
19:04:50	493/493	---M--	200	added ('OK')	image/gif	etag:%225ecec5ba-1ed%22	https://www.satta-kingz.in/images/www.gif	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/images/www.gif	(from https://www.satta-kingz.in/)
19:04:51	28651/28651	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:51%20GMT	https://www.satta-kingz.in/delhi-satta-king-live-result.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/delhi-satta-king-live-result.html	(from https://www.satta-kingz.in/)
19:04:51	28311/28311	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:52%20GMT	https://www.satta-kingz.in/satta-ka-number-bazar.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/satta-ka-number-bazar.html	(from https://www.satta-kingz.in/)
19:04:52	28339/28339	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:53%20GMT	https://www.satta-kingz.in/satta-king-vip.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/satta-king-vip.html	(from https://www.satta-kingz.in/)
19:04:53	19254/19254	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:53%20GMT	https://www.satta-kingz.in/desawar-satta-record-chart-2020.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/desawar-satta-record-chart-2020.html	(from https://www.satta-kingz.in/)
19:04:53	19191/19191	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:54%20GMT	https://www.satta-kingz.in/gali-satta-record-chart-2020.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/gali-satta-record-chart-2020.html	(from https://www.satta-kingz.in/)
19:04:53	19295/19295	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:54%20GMT	https://www.satta-kingz.in/faridabad-satta-record-chart-2020.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/faridabad-satta-record-chart-2020.html	(from https://www.satta-kingz.in/)
19:04:54	19293/19293	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:54%20GMT	https://www.satta-kingz.in/ghaziabad-satta-record-chart-2020.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/ghaziabad-satta-record-chart-2020.html	(from https://www.satta-kingz.in/)
19:04:54	2508/2508	---M--	200	added ('OK')	image/png	etag:%225ecec5ba-9cc%22	https://www.satta-kingz.in/images/call.png	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/images/call.png	(from https://www.satta-kingz.in/)
19:04:55	3310/3310	---M--	200	added ('OK')	application/javascript	etag:%225a71976f-cee%22	https://static.usuarios-online.com/uo2.min.js	C:/Users/Administrator/Desktop/new%20site/satta/static.usuarios-online.com/uo2.min.js	(from https://www.satta-kingz.in/)
19:04:56	13268/13268	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:56%20GMT	https://www.satta-kingz.in/contact.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/contact.html	(from https://www.satta-kingz.in/)
19:04:56	13672/13672	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2013:34:57%20GMT	https://www.satta-kingz.in/disclaimer.php	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/disclaimer.html	(from https://www.satta-kingz.in/)
19:04:57	2862/2862	---M-Z	200	added ('OK')	application/xml	etag:%22b2e-5a8bd770b7bdc-gzip%22	https://www.satta-kingz.in/sitemap.xml	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/sitemap.xml	(from https://www.satta-kingz.in/)
19:04:58	5047/5047	---M--	200	added ('OK')	image/png	etag:%225ef1d2cd-13b7%22	https://www.satta-kingz.in/images/chat.png	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/images/chat.png	(from https://www.satta-kingz.in/css/style.css?id=237)
19:04:58	39406/39406	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2010:00:43%20GMT	https://www.satta-kingz.in/fonts/glyphicons-halflings-regular.html	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/fonts/glyphicons-halflings-regular.html	(from https://www.satta-kingz.in/css/bootstrap.min.css)
19:04:59	39406/39406	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2010:00:43%20GMT	https://www.satta-kingz.in/fonts/glyphicons-halflings-regulard41d.html?	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/fonts/glyphicons-halflings-regulard41dd41d.html	(from https://www.satta-kingz.in/css/bootstrap.min.css)
19:04:59	39406/39406	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2010:00:41%20GMT	https://www.satta-kingz.in/fonts/glyphicons-halflings-regular-2.html	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/fonts/glyphicons-halflings-regular-2.html	(from https://www.satta-kingz.in/css/bootstrap.min.css)
19:05:00	39406/39406	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2010:00:42%20GMT	https://www.satta-kingz.in/fonts/glyphicons-halflings-regular-3.html	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/fonts/glyphicons-halflings-regular-3.html	(from https://www.satta-kingz.in/css/bootstrap.min.css)
19:05:00	39406/39406	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2010:00:42%20GMT	https://www.satta-kingz.in/fonts/glyphicons-halflings-regular-4.html	C:/Users/Administrator/Desktop/new%20site/satta/www.satta-kingz.in/fonts/glyphicons-halflings-regular-4.html	(from https://www.satta-kingz.in/css/bootstrap.min.css)
